name	type
Alfred Edwards	PER
Pierre Alcover	PER
Alcover	PER
Rueil-Malmaison cemetery	LOC
Paris	LOC
Antara Gange	LOC
Shathashrunga	LOC
Indian	LOC
Karnataka	LOC
Kolar	LOC
Kannada	MISC
two miles	NUM
seventy kilometers	NUM
Bangalore	LOC
Sri Kashi Vishweshwara temple	LOC
Shiva	PER
Basava	PER
3-4 km	NUM
seven	NUM
Therhalli	LOC
Connecticut River Walk	LOC
Springfield	LOC
Massachusetts	LOC
New England	LOC
Connecticut River	LOC
3.7 miles	NUM
Chicopee	LOC
South End Bridge	LOC
Naismith Memorial Basketball Hall of Fame	LOC
Knowledge Corridor	MISC
Interstate 91 - a	LOC
1960s	TIME
David Livingstone	PER
Sky Sports	ORG
UK	LOC
the 1970s	TIME
Scottish Television	ORG
BSkyB	ORG
1990	TIME
Sky	ORG
Premier League	ORG
1992	TIME
PGA Tour	ORG
Livingstone	ORG
eight	NUM
2018 Ryder Cup	MISC
Butch Harmon	PER
Nick Dougherty	PER
Sky Sports Golf	MISC
23 years	TIME
Japan	LOC
Dai Nippon Sugar Manufacturing Co.	ORG
Nitto Chemical Industry Co.	ORG
Hideki Tōjō	PER
1944	TIME
World War II	MISC
Fujiyama	PER
three years	TIME
1951	TIME
UNESCO	ORG
Parliament	ORG
1957	TIME
60	TIME
United Nations	ORG
U.S .– Japan Security Treaty	MISC
1960	TIME
China	LOC
Economic Planning Agency	ORG
Millennium	MISC
English	LOC
Robbie Williams	PER
1998	TIME
I 've Been Expecting You	MISC
UK Singles Chart	MISC
the United States	LOC
Canada	LOC
1999	TIME
The Ego Has Landed	MISC
John Barry	PER
You Only Live Twice	MISC
1967	TIME
James Bond	PER
Hatoyama	PER
2 February 1884	TIME
29 January 1946	TIME
Japanese	LOC
Kazuo Hatoyama	PER
House of Representatives of Japan	ORG
Meiji era	TIME
Ichirō Hatoyama	PER
the 1930s	TIME
40s	TIME
Tokyo Imperial University	ORG
1908	TIME
France	LOC
Germany	LOC
1916	TIME
1926	TIME
Sakae Wagatsuma	PER
1910	TIME
Izotaro Suehiro	PER
German	LOC
Anglican Church	ORG
St. Barnabas ' Church	LOC
Ushigome	LOC
Order of Karađorđe 's Star	MISC
Serb	LOC
Kingdom of Serbia	LOC
Balkan Wars	MISC
World War I	MISC
Kingdom of Yugoslavia	LOC
Yugoslavia	LOC
Axis	ORG
Josip Broz Tito	PER
Order of the People's Hero	MISC
Serbian Government	ORG
Cold War	MISC
Karađorđević	PER
Novak Djokovic	PER
February 2012	TIME
1.2   km	NUM
Bolshaya Neva	LOC
Vasilievsky Island	LOC
Saint Petersburg	LOC
Russia	LOC
Spit	LOC
Palace Bridge	LOC
Blagoveshchensky Bridge	LOC
1805	TIME
1810	TIME
1831	TIME
1834	TIME
the 1850s	TIME
1850s	TIME
Petrine Baroque	LOC
early 18th century	TIME
Kunstkamera	LOC
Twelve Collegia	LOC
Menshikov Palace	LOC
Academy of Arts	ORG
Isaakiyevsky Pontone Bridge	LOC
1819	TIME
1841	TIME
Senate Square	LOC
Saint Petersburg State University	ORG
Russian Academy of Sciences	ORG
Peter the Great Museum of Anthropology	ORG
Zoological Museum	LOC
1887	TIME
Sidi Saiyyed Mosque	LOC
Sidi Saiyyid ni Jali	LOC
1572-73 AD	TIME
Hijri year 980	TIME
Ahmedabad	LOC
Gujarat	LOC
India	LOC
Sidi Saiyyid	PER
Bilal Jhajar Khan	PER
Shams - ud - Din Muzaffar Shah III	PER
Gujarat Sultanate	LOC
ten	NUM
Sidi Saiyyed Jali	MISC
Indian Institute of Management Ahmedabad	ORG
Mughals	ORG
லீ சியன் லூங்	PER
Tamil	LOC
10 February 1952	TIME
Singaporean	LOC
2004	TIME
People's Action Party	ORG
Goh Chok Tong	PER
2006	TIME
2011	TIME
15 January 2016	TIME
Singapore 's 13th Parliament	MISC
Lee Kuan Yew	PER
Trinity College	ORG
1974	TIME
Harvard	ORG
Kennedy School of Government	ORG
1971	TIME
Singapore Armed Forces	ORG
Trade and Industry	ORG
Finance and Deputy	ORG
Burkina Faso–Sweden Friendship Association	ORG
Swedish	LOC
Burkina Faso	LOC
West Africa	LOC
120	NUM
one	NUM
Burkinakontakt	MISC
1986	TIME
Thomas Sankara	PER
15 October 1987	TIME
Blaise Compaoré	PER
2012	TIME
2014	TIME
parrandas	MISC
the 18th century	TIME
Las Villas	LOC
Villa Clara	LOC
Sancti Spíritus	LOC
Ciego de Ávila	LOC
Cuba	LOC
Puerto Rican	LOC
Remedios	LOC
Camajuaní	LOC
Vueltas	LOC
Zulueta	LOC
Chambas	LOC
Guayos	LOC
El Santo	LOC
Taguayabón	LOC
Buenavista	LOC
Calabazar de Sagua	LOC
Zaza del Medio	LOC
Falcón	LOC
Puerto Rico	LOC
asaltos	MISC
Christmas	MISC
Carlo Giuseppe Ratti	PER
1737	TIME
1795	TIME
Italian	LOC
Baroque	MISC
Giovanni Agostino Ratti	PER
Savona	LOC
Rome	LOC
Anton Raphael Mengs	PER
Pompeo Batoni	PER
Genoa	LOC
Raffaele Soprani	PER
Genoese	LOC
Vite de ' pittori , scultori ed architetti genovesi	MISC
1769	TIME
Annunciation	MISC
Santa Maria delle Vigne	LOC
A Life of Rafael Mengs	MISC
Notices of Correggio	MISC
Luigi Lanzi	PER
Liguria	LOC
Storia Pittorica dell'Italia	MISC
Pius VI	PER
Accademia Ligustica di Belle Arti	ORG
Raimondo Ghelli	PER
Emmanuel Joseph Sieyès	PER
3 May 1748	TIME
20 June 1836	TIME
Roman Catholic	ORG
French Revolution	MISC
French Consulate	LOC
First French Empire	LOC
1789	TIME
What is the Third Estate	MISC
Revolution	MISC
Estates - General	MISC
National Assembly	ORG
1799	TIME
18	NUM
9 November	TIME
Napoleon Bonaparte	PER
Conner	PER
2 June 1919	TIME
5 November 1998	TIME
United States Army	ORG
Second World War	MISC
Distinguished Service Cross	MISC
four	NUM
Silver Stars	MISC
Croix de guerre	MISC
Italy	LOC
Medal of Honor	MISC
22 years	TIME
29 March 2018	TIME
White House	LOC
Trump	PER
Pauline Conner	PER
East Room	LOC
Big Star 's Third	MISC
Big Star	ORG
1975	TIME
Third/Sister Lovers	MISC
December 2010	TIME
two dozen	NUM
Cat 's Cradle	LOC
Carrboro	LOC
North Carolina	LOC
Jody Stephens	PER
Mike Mills	PER
R.E.M.	ORG
Chris Stamey	PER
The dB 's	ORG
Mitch Easter	PER
Let's Active	ORG
Battle of Talas	MISC
Battle of Talas River	MISC
Battle of Artlakh	MISC
Arab Abbasid Caliphate	ORG
Tibetan Empire	ORG
Chinese Tang dynasty	ORG
Xuanzong	PER
July 751 CE	TIME
Tang	ORG
Talas River	LOC
Syr Darya	LOC
central Asia	LOC
Karluks	ORG
Abbasids	ORG
Muslim	ORG
Transoxiana	LOC
400 years	TIME
Silk Road	MISC
Chinese	LOC
Middle East	LOC
Monumental Church	LOC
Episcopal	ORG
1224 E. Broad Street	LOC
N. 12th	LOC
College Streets	LOC
Richmond	LOC
Virginia	LOC
Robert Mills	PER
America	LOC
Greek Revival	MISC
National Register of Historic Places	MISC
National Historic Landmark	MISC
Court End	LOC
1812	TIME
1814	TIME
72	NUM
December 26, 1811	TIME
Richmond Theatre	LOC
Return of Saturn	MISC
No Doubt	ORG
April 11, 2000	TIME
Trauma Records	ORG
Interscope Records	ORG
Eric Stefani	PER
1994	TIME
two and a half years	TIME
Tragic Kingdom	MISC
Glen Ballard	PER
two years	TIME
Gwen Stefani	PER
Billboard 200	MISC
43rd Grammy Awards	MISC
Best Rock Album	MISC
Be Without You	MISC
Mary J. Blige	PER
Johnta Austin	PER
Bryan Michael Cox	PER
Jason Perry	PER
The Breakthrough	MISC
Ron Fair	PER
2005	TIME
US	LOC
RIAA	ORG
2007	TIME
March 2017	TIME
Billboard Magazine	ORG
R&B;/Hip - Hop Song	MISC
Record of the Year and Song of the Year	MISC
Best R&B ; Song	MISC
Best Female R&B	MISC
Vocal Performance	MISC
2007 Grammy Awards	MISC
Wulsbüttel	LOC
Cuxhaven	LOC
Lower Saxony	LOC
1 January 2014	TIME
Hagen i m Bremischen	LOC
Prince - Archbishopric	LOC
Bremen	LOC
1180	TIME
1648	TIME
Duchy of Bremen	LOC
Danish	LOC
1712	TIME
1715	TIME
Hanoverian Crown	ORG
1807	TIME
Kingdom of Westphalia	LOC
Duchy	LOC
1813	TIME
Electorate of Hanover	LOC
Kingdom of Hanover	LOC
Ducal	LOC
Stade Region	LOC
1823	TIME
Badulla	LOC
Uva Province	LOC
Sri Lanka	LOC
2,861   km²	NUM
837,000	NUM
Monaragala	LOC
Rathnapura	LOC
Ampara	LOC
Kandy	LOC
Nuwara Eliya	LOC
Matale	LOC
Joos van der Beke	PER
1485	TIME
1540/1541	TIME
Antwerp	LOC
1511	TIME
1540	TIME
Netherlandish	LOC
Renaissance	MISC
Guild of Saint Luke of Antwerp	ORG
sixteenth century	TIME
Cornelis van Cleve	PER
1520	TIME
1567	TIME
mad Cleef	PER
Anahita Temple	LOC
Iran	LOC
Anahita	PER
Kangāvar	LOC
Kermanshah Province	LOC
Bishapur	LOC
Kangavar	LOC
Hellenistic	LOC
Persian architectural	MISC
200 m	NUM
Achaemenid	ORG
Apadana Palace	LOC
Persepolis	LOC
Iranian	LOC
Khurra	LOC
Markazi Province	LOC
Official Charts Company	ORG
John Travolta	PER
Olivia Newton-John	PER
Grease	MISC
the 20th century	TIME
the early 21st century	TIME
10 September 2015	TIME
Norodom Suramarit	PER
6 March 1896	TIME
3 April 1960	TIME
Cambodia	LOC
1955	TIME
Norodom Sihanouk	PER
Norodom Sihamoni	PER
Phnom Penh	LOC
Norodom Sutharot	PER
Sisowath Monivong	PER
Sisowath	PER
Sisowath Kosamak	PER
1941	TIME
1993	TIME
Millionaire's Row	LOC
George Town	LOC
Penang	LOC
Malaysia	LOC
Gurney Drive	LOC
Farquhar Street	LOC
1990s	TIME
Central Business District	LOC
North Beach	LOC
Francis Light	PER
Old Protestant Cemetery	LOC
Europeans	ORG
BBC Weather	MISC
BBC News	ORG
BBC World News	ORG
BBC Red Button	ORG
BBC Radio	ORG
BBC Breakfast	ORG
Middlesex Polytechnic	ORG
1988	TIME
Children 's BBC	ORG
Winter Olympics	MISC
Lillehammer	LOC
Central Television	ORG
LBC	ORG
UK Weather Channel	MISC
1996	TIME
BBC	ORG
April 1998	TIME
Trading Up	MISC
BBC One	ORG
Countryfile	MISC
Mr. Hankey , the Christmas Poo	MISC
South Park	LOC
Comedy Central	ORG
December 17, 1997	TIME
Jewish	ORG
Kyle	PER
Hankey	PER
Trey Parker	PER
Matt Stone	PER
Peanuts Christmas	MISC
A Charlie Brown Christmas	MISC
1965	TIME
Kenny	PER
4.5 million	NUM
Nielsen rating	MISC
A Lonely Jew on Christmas	MISC
Kyle 's Mom is a Big Fat Bitch	MISC
John Kricfalusi	PER
The Ren & Stimpy Show	MISC
Erlenmeyer	PER
11 July 1822	TIME
9 August 1877	TIME
Wiesbaden	LOC
Marburg	LOC
Bonn	LOC
Berlin	LOC
University of Bonn	ORG
Karl Wilhelm Wutzer	PER
1863	TIME
University of Berlin	ORG
Jacobi	PER
1777	TIME
1858	TIME
Siegburg	LOC
1848	TIME
Bendorf bei Koblenz	LOC
Asyl für Gehirn- und Nervenkranke	LOC
1866	TIME
Albrechtshöhe	LOC
1867	TIME
1854	TIME
Deutsche Gesellschaft für Psychiatrie und gerichtliche Psychologie	ORG
Friedrich Albrecht Erlenmeyer	PER
1849	TIME
Savoy Truffle	MISC
Beatles	ORG
1968	TIME
The Beatles	MISC
George Harrison	PER
Eric Clapton	PER
Mackintosh 's Good News	MISC
While My Guitar Gently Weeps	MISC
Cream	ORG
Badge	MISC
five - month	TIME
Chris Thomas	PER
Ob - La - Di , Ob - La - Da	MISC
Ian MacDonald	PER
Daryl Easlea	PER
BBC Music	ORG
Ella Fitzgerald	PER
Terry Manning	PER
They Might Be Giants	ORG
Good Life	MISC
The Braxtons	ORG
Toni Braxton	PER
Towanda	PER
Trina	PER
Traci Braxton	PER
Tamar Braxton	PER
Klarmann/Weber	ORG
Arista	ORG
1989	TIME
Family	MISC
Billboard Hot Black Single	MISC
L.A. Reid	PER
Babyface	PER
LaFace Records	ORG
So Many Ways	MISC
Atlantic Records	ORG
The Essential Toni Braxton	MISC
Sherman Island	LOC
Sacramento-San Joaquin River Delta	LOC
Sacramento County	LOC
California	LOC
two kilometres	NUM
Antioch	LOC
Sacramento-	LOC
Solano-	LOC
Contra Costa - Counties	LOC
Sacramento River	LOC
Three Mile Slough	LOC
San Joaquin River	LOC
California State Route 160	LOC
Antioch Bridge	LOC
Three Mile Slough Bridge	LOC
Brannan Island State Recreation Area	LOC
Sherman Lake	LOC
Obliteration Pie	MISC
Robyn Hitchcock	PER
six	NUM
Madonna Of The Wasps	MISC
My Wife And My Dead Wife	MISC
Lipps Inc.	ORG
Funkytown	MISC
I Often Dream Of Trains	MISC
The Man With The Lightbulb Head	MISC
mid-1980s	TIME
Got ta Let This Hen Out	MISC
David Tod	PER
February 21 , 1805	TIME
1868	TIME
Ohio	LOC
Tod	PER
Democrat	ORG
Republicans	ORG
War Democrats	ORG
two - year	TIME
Me Musical Nephews	MISC
1942	TIME
Seymour Kneitel	PER
Tom Johnson	PER
George Germanetti	PER
Popeye	PER
Pipeye	PER
Poopeye	PER
Pupeye	PER
Peepeye	PER
Jack Mercer	PER
Riot in Rhythm	MISC
1950	TIME
Sammy Timberg	PER
Winston Sharples	PER
Swee'Pea	PER
William Stuart Reyburn	PER
December 17 , 1882	TIME
July 25 , 1946	TIME
Republican	ORG
U.S. House of Representatives	ORG
Pennsylvania	LOC
Philadelphia	LOC
John E. Reyburn	PER
Margretta	PER
Georgie Fontaine Maury	PER
June 10, 1911	TIME
1904	TIME
St. Anthony Hall	ORG
Georgetown University	ORG
William Howard Taft	PER
Philippines	LOC
1905	TIME
Pennsylvania House of Representatives	ORG
1909	TIME
1911	TIME
62nd Congress	ORG
May 23, 1911	TIME
Joel Cook	PER
May 23 , 1911	TIME
March 3 , 1913	TIME
1912	TIME
Yellowtail Dam	LOC
Bighorn River	LOC
Montana	LOC
mid-1960s	TIME
Bighorn Lake	LOC
U.S. Bureau of Reclamation	ORG
Crow Nation	ORG
Native Americans	ORG
Crow Indian Reservation	LOC
Wyoming	LOC
1961	TIME
six years	TIME
Tango SA	ORG
Luxembourg	LOC
9	NUM
17	NUM
Vodafone	ORG
January 2018	TIME
280,000	NUM
3	NUM
Belgium	LOC
Proximus Group	ORG
2008	TIME
Telindus	ORG
ICT	MISC
Cloud	MISC
Proximus Luxembourg	MISC
October 2016	TIME
Dany Morin	PER
December 19, 1985	TIME
Canadian	LOC
House of Commons of Canada	ORG
Chicoutimi	LOC
Le Fjord	LOC
New Democratic Party	ORG
Randall Garrison	PER
Morin	PER
Liberal	ORG
Denis Lemieux	PER
Monsieur Fulgence	MISC
Saguenay – Lac - Saint - Jean	LOC
Jack D. Schwager	PER
January 26, 1992	TIME
HarperCollins	ORG
Market Wizards	MISC
Saddam Hussein	PER
Kuwait	LOC
42	NUM
ToothPick.com	ORG
NHS	ORG
Beta	MISC
November 2012	TIME
2013	TIME
Sandeep Senghera	PER
Jozef Wallis	PER
ToothPick	ORG
Henry Schein	PER
Passion Capital	ORG
Pradeep Menon	ORG
Paul Edwards	PER
Satish Jayakumar	PER
Michael Stephanblome	PER
WhatClinic	ORG
November 9, 2015	TIME
RANC	ORG
HMAS Creswell	ORG
Royal Australian Navy	ORG
RAN School of Survivability and Ship 's Safety	ORG
Kalkara Flight	ORG
Beecroft Weapons Range	ORG
Jervis Bay Village	LOC
Greenpatch	LOC
Jervis Bay	LOC
Jervis Bay Territory	LOC
Charles Huxtable	PER
Naval Waters for Jervis Bay	ORG
Navy	ORG
1915	TIME
Dwight Tillery	PER
Democratic Party	ORG
Cincinnati	LOC
West End	LOC
University of Cincinnati	ORG
the 1960s	TIME
United Black Association	ORG
University of Michigan Law School	ORG
1991	TIME
Cincinnati City Council	ORG
African American	ORG
The Center for Closing the Health Gap	ORG
Center for Closing the Health Gap	ORG
Greater Cincinnati	LOC
HIV	MISC
René-Lévesque	LOC
Côte - Nord	LOC
Quebec	LOC
National Assembly of Quebec	ORG
Manicouagan Regional County Municipality	LOC
La Haute - Côte - Nord Regional County Municipality	LOC
Baie-Comeau	LOC
Forestville	LOC
1948	TIME
Charlevoix-Saguenay	LOC
2003	TIME
René Lévesque	PER
Erich Klossowski	PER
19 December 1875	TIME
23 January 1949	TIME
Poland	LOC
Pierre Klossowski	PER
Balthus	PER
Ragnit	LOC
Rola	PER
Prussian	LOC
Honoré Daumier	PER
Munich	LOC
1914	TIME
Baladine Klossowska	PER
Rainer Maria Rilke	PER
Sanary - sur - Mer	LOC
Guy	PER
Amiens	LOC
d.1075	TIME
eleventh - century	TIME
Ponthieu	LOC
Boulogne	LOC
12th century	TIME
Enguerrand II	PER
Guy I	PER
Hugh II	PER
Enguerrand I	PER
Boulognnais	LOC
Arnold II	PER
Fulk	PER
Forest l'Abbaye	LOC
Robert	PER
László Zarándi	PER
10 June 1929	TIME
Hungarian	LOC
100 metres	NUM
Kiskunfélegyháza	LOC
1946/47	TIME
SZVSE	ORG
Hungary	LOC
1952 Summer Olympics	MISC
Helsinki	LOC
Finland	LOC
Géza Varasdi	PER
György Csányi	PER
Béla Goldoványi	PER
29 August 1954	TIME
Bern	LOC
European Championship of Athletics	MISC
1952	TIME
High Schoeo for Physical Education	ORG
László Szalma	PER
4	NUM
Olympic Games	MISC
1980	TIME
Dragan Ivanov	PER
Cabinet of Radoman Božović	ORG
December 23 , 1991	TIME
Dragutin Zelenović	PER
Serbia	LOC
Serbian	LOC
100 days	TIME
10,000%	NUM
Vojislav Šešelj	PER
February 10, 1993	TIME
Socialist Party of Serbia	ORG
Serbian Radical Party	ORG
December 20 , 1992	TIME
Božović	PER
Socialist	ORG
Radicals	ORG
Nikola Šainović	PER
Castroverde	LOC
Lugo province	LOC
Spain	LOC
Galicia	LOC
37	NUM
R Adams Cowley	PER
July 25 , 1917	TIME
October 27 , 1991	TIME
Father of Trauma Medicine	MISC
University of Maryland	ORG
1958	TIME
US Army	ORG
$ 100,000	NUM
Golden Hour	MISC
60 minutes	TIME
1969	TIME
Society of Thoracic Surgeons	ORG
EMS	MISC
MIEMSS	ORG
Executive Order	MISC
Maryland	LOC
Mandel	PER
1972	TIME
National Study Center for Trauma and EMS	ORG
Ronald Reagan	PER
Dwight D. Eisenhower	PER
S. Justin Selvaraj	PER
Telugu	LOC
Hindi	LOC
Vasanth	PER
Sabapathy	PER
Vaali	PER
Kushi	MISC
2000	TIME
New	PER
Anbe Aaruyire	MISC
Isai	MISC
Kalvanin Kadhali	MISC
Thirumagan	MISC
Vyabari	MISC
Antagonist	PER
Spyder	MISC
2017	TIME
Mersal	MISC
Fort Pitt Tunnel	LOC
Interstate 376	LOC
U.S. Route 22	LOC
US 30	LOC
US 19 Truck	MISC
Downtown Pittsburgh	LOC
the U.S.	LOC
Mount Washington	LOC
Fort Pitt Bridge	LOC
Southwestern Pennsylvania	LOC
Golden Triangle	LOC
The New York Times	MISC
KDKA-TV	ORG
the 1980s	TIME
Stephen Chbosky	PER
The Perks of Being a Wallflower	MISC
Liberty Tunnels	LOC
Squirrel Hill Tunnel	LOC
Wabash Tunnel	LOC
Mount Washington Transit Tunnel	LOC
Immigration Depot	LOC
Aapravasi Ghat	LOC
Port Louis	LOC
Indian Ocean	LOC
Mauritius	LOC
1923	TIME
half a million	NUM
British Empire	LOC
Indians	LOC
68 percent	NUM
the mid-20th century	TIME
Mauritian	LOC
World Heritage Site	MISC
Aapravasi Ghat Trust Fund	ORG
1860s	TIME
Love , Death & Mussolini	MISC
Steven Wilson	PER
nine	NUM
The Nostalgia Factory	ORG
Out	MISC
Yellow Hedgerow Dreamscape	MISC
It Will Rain for a Million Years	MISC
On the Sunday of Life ...	MISC
10	NUM
Love, Death & Mussolini	MISC
Alan Duffy	PER
JC Camillioni	PER
Hinduism	ORG
Los Angeles	LOC
the late 19th century	TIME
Hindu	LOC
Swami Vivekananda	PER
–1902	TIME
Ramakrishna Paramahamsa	PER
Swami Paramananda	PER
Vedanta	MISC
Boston	LOC
Hindus	ORG
Los Angeles Hindu Society	ORG
Pasadena Hindu Temple	LOC
City of Thuringowa	LOC
North Queensland	LOC
Townsville	LOC
Thuringowa Central	LOC
Thuringowa	LOC
Thuringia	LOC
John von Stieglitz	PER
1 January 1986	TIME
City of Townsville	LOC
Queensland Government	ORG
Thuringowa City Council	ORG
Townsville City Council	ORG
New Townsville City	LOC
Council	ORG
15 March 2008	TIME
Sāpai	ORG
Ghurghakhti Pashtun	ORG
Pech Valley	LOC
Kunar	LOC
Parwan Province	LOC
Kapisa Province	LOC
Kabul Province	LOC
Laghman Province	LOC
Nuristan Province	LOC
Kunar Province	LOC
Durand Line	LOC
1900	TIME
Khyber Pakhtunkhwa	LOC
Peshawar	LOC
Charsadda	LOC
Mardan	LOC
Nowshehra	LOC
Swabi	LOC
Rawalpindi	LOC
Tarnol	LOC
Lahore	LOC
Multan	LOC
Mohmand	LOC
Bajaur Agency	LOC
Federally Administered Tribal Areas	LOC
Zhob District	LOC
Balochistan	LOC
Pakistan	LOC
Pershing	ORG
1966	TIME
Beatrice	LOC
Nebraska	LOC
Midwestern	LOC
Parsons College	ORG
Fairfield	LOC
Iowa	LOC
1950s	TIME
Parsons Plan	MISC
Millard Roberts	PER
Vietnam War	MISC
Southeast Community College	ORG
Pierre Jean "Buster" Martin	PER
1 September 1906	TIME
12 April 2011	TIME
United Kingdom	LOC
Pimlico Plumbers	ORG
Liberal Democrat	ORG
Menzies Campbell	PER
97	NUM
Security Council	ORG
UN	ORG
fifteen	NUM
UN Charter	MISC
People's Republic of China	LOC
Republic of China	LOC
Soviet Union	LOC
Eric Reed Boucher	PER
June 17, 1958	TIME
San Francisco	LOC
Dead Kennedys	ORG
1979	TIME
Alternative Tentacles	ORG
East Bay Ray	PER
California Supreme Court	ORG
$ 200,000	NUM
Green Party	ORG
2000 United States Presidential Election	MISC
Ralph Nader	PER
Yippies	ORG
Marlo Chandler	PER
Marvel Comics	ORG
Peter David	PER
The Incredible Hulk	MISC
September 1988	TIME
Captain Marvel	MISC
1999–2004	TIME
Rick Jones	PER
Hulk	PER
Betty Ross	PER
Philip Marlowe	PER
Raymond Chandler	PER
Empire of Japan	LOC
French State	LOC
Indochinese	LOC
26 September 1940	TIME
Battle of South Guangxi	MISC
Sino-Japanese War	MISC
French Indochina	LOC
Kunming – Hai Phong Railway	LOC
Haiphong	LOC
Hanoi	LOC
Kunming	LOC
Yunnan	LOC
Tonkin	LOC
Patricia Stephens Due	PER
December 9 , 1939	TIME
February 7 , 2012	TIME
African	LOC
Florida	LOC
Priscilla	PER
CORE	ORG
49 days	TIME
Woolworth	LOC
Tallahassee	LOC
NAACP	ORG
Tananarive	PER
Freedom in the Family : a Mother - Daughter Memoir of the Fight for Civil Rights	MISC
Florida A&M ; University	ORG
John D. Due	PER
Askar Simitko	PER
1953–January 28 , 1995	TIME
Kurdish	LOC
Turkey	LOC
Istanbul	LOC
Urmia	LOC
West Azarbaijan	LOC
Tahirhan	PER
September 1985	TIME
Barzani	LOC
SAVAMA	ORG
Mohammad Reza Pahlavi	PER
People 's Mujahedin	ORG
Susurluk	LOC
Kutlu Savaş	PER
January 15, 1995	TIME
Lazım Esmaeili	PER
Polat Renaissance Hotel	LOC
Yeşilköy	LOC
03:45	TIME
Kerev Creek	LOC
Silivri	LOC
Second MIT Report	MISC
Mehmet Eymür	PER
Ou Reang Ov District	LOC
Tboung Khmum	LOC
Ou Reang Ov	LOC
30 kilometres	NUM
Kampong Cham Province	LOC
Prey Veng	LOC
42 kilometres	NUM
31 December 2013	TIME
National Highway 11	LOC
Neak Leung	LOC
National Highway 7	LOC
Thnal Totoung	LOC
Tboung Kmom District	LOC
adoption reunion registry	MISC
British Columbia	LOC
Newfoundland	LOC
Ontario	LOC
International Soundex Reunion Registry, Inc.	ORG
ISRR	ORG
April 2005	TIME
National Adoption Contact Preference Register	MISC
Ireland	LOC
Irish	LOC
Hide & Seek	MISC
South Korean	LOC
Tohoshinki	ORG
Tree	MISC
Something	MISC
Avex Trax	ORG
Bigeast Board	MISC
Team Batista 4	MISC
Oricon Singles Chart	MISC
Billboard Japan Hot 100	MISC
RIAJ	ORG
