name	type
Ulrich Thomsen	PER
Shauna Macdonald	PER
Kevin McKidd	PER
Patrick Malahide	PER
Scottish	LOC
1930s	TIME
German	LOC
Gerhard Zucker	PER
2001	TIME
2005	TIME
Scotland	LOC
1934	TIME
Scarp	LOC
Taransay	LOC
Nigel Clarke	PER
Michael Csanyi - Wills	PER
Royal Philharmonic Orchestra	ORG
London	LOC
George Redburn Young	PER
November 6 , 1946	TIME
October 22 , 2017	TIME
Australian	LOC
Easybeats	ORG
Flash and the Pan	ORG
one - half	NUM
Vanda & Young	ORG
Vanda	PER
Australia	LOC
the 1960s	TIME
Friday on My Mind	MISC
Love Is in the Air	MISC
John Paul Young	PER
AC/DC	ORG
Malcolm	PER
Angus Young	PER
ARIA Hall of Fame	MISC
1988	TIME
Big Star 's Third	MISC
Big Star	ORG
1975	TIME
Third/Sister Lovers	MISC
December 2010	TIME
two dozen	NUM
Cat 's Cradle	LOC
Carrboro	LOC
North Carolina	LOC
the United States	LOC
Jody Stephens	PER
Mike Mills	PER
R.E.M.	ORG
Chris Stamey	PER
The dB 's	ORG
Mitch Easter	PER
Let's Active	ORG
Breadfruit	MISC
Moraceae	MISC
South Pacific	LOC
Oceania	LOC
French	LOC
Polynesian	LOC
Caribbean	LOC
18th century	TIME
90	NUM
South	LOC
Southeast Asia	LOC
Pacific Ocean	LOC
Central America	LOC
Africa	LOC
New Guinea	LOC
Indo - Malayan Archipelago	LOC
Micronesia	LOC
South America	LOC
Cabinet of Radoman Božović	ORG
December 23 , 1991	TIME
Dragutin Zelenović	PER
Serbia	LOC
Serbian	MISC
100 days	TIME
10,000%	NUM
Vojislav Šešelj	PER
February 10, 1993	TIME
Socialist Party of Serbia	ORG
Serbian Radical Party	ORG
December 20 , 1992	TIME
Božović	PER
Socialist	ORG
Radicals	ORG
Nikola Šainović	PER
Johannes de Sacrobosco	PER
1195	TIME
1256	TIME
University of Paris	ORG
Hindu	LOC
Arabic	LOC
Tractatus de Sphaera	MISC
Julian calendar	MISC
three centuries	TIME
Gregorian calendar	MISC
1236	TIME
1244	TIME
Love , Death & Mussolini	MISC
Steven Wilson	PER
nine	NUM
seven	NUM
The Nostalgia Factory	ORG
Out	MISC
Yellow Hedgerow Dreamscape	MISC
2013	TIME
It Will Rain for a Million Years	MISC
On the Sunday of Life ...	MISC
10	NUM
Love, Death & Mussolini	MISC
Alan Duffy	PER
JC Camillioni	PER
Hillary Clinton	PER
Democratic Party	ORG
Arkansas	LOC
1979	TIME
81	TIME
1983	TIME
92	NUM
1993	TIME
New York	LOC
Democratic	ORG
2016 Democratic National Convention	MISC
Donald Trump	PER
2.8 million	NUM
38	NUM
65	NUM
112,735	NUM
Hellmut G. Haasis	PER
7 January 1942	TIME
Georg Elser	PER
Adolf Hitler	PER
1939	TIME
Reinhard Heydrich	PER
Holocaust	MISC
Joseph Süß Oppenheimer	PER
1738	TIME
1940	TIME
Nazi	ORG
Jud Süß	MISC
Mühlacker	LOC
Swabia	LOC
Swabian	MISC
Thaddäus Troll Literature Prize	MISC
Schubart Literature Prize	MISC
Civis Media Prize	MISC
Christian	ORG
andreia	MISC
Temperance	MISC
Sōphrosynē	MISC
Greek word	MISC
Plato	PER
Republic Book IV	MISC
426	TIME
435	TIME
Protagoras 330b	MISC
Cicero	PER
Ambrose	PER
Augustine	PER
Hippo	LOC
Thomas Aquinas	PER
Latin	MISC
Quadrivium	MISC
Christian Kramer	PER
1834	TIME
Master of the King 's Musick	MISC
1829	TIME
George IV	PER
William IV	PER
Hannover	LOC
Romantic	MISC
Peter Winter	PER
Dwight 's Journal of Music	MISC
John Dwight	PER
Dictionary of Musical Information	MISC
1876	TIME
Pakistan	LOC
Seventh Plan	MISC
Ministry of Finance	ORG
MoF	ORG
Benazir Bhutto	PER
Parliament	ORG
Economic Coordination Committee	ORG
Planning Commission	ORG
Zulfikar Ali Bhutto	PER
6.6%—	NUM
Nawaz Sharif	PER
1991	TIME
Jones	PER
June 30 , 1880	TIME
March 30 , 1972	TIME
Major League Baseball	ORG
fifteen	NUM
Milwaukee Brewers	ORG
St. Louis Browns	ORG
Chicago Cubs	ORG
Detroit Tigers	ORG
Chicago White Sox	ORG
Pittsburgh Rebels	ORG
Ty Cobb	PER
Sam Crawford	PER
Frank Chance	PER
Three Finger Brown	PER
Hugh Duffy	PER
Jesse Burkett	PER
1919	TIME
Black Sox	ORG
The Glory of Their Times	MISC
Lawrence Ritter	PER
.270	NUM
1,000	NUM
subaltern	MISC
Antonio Gramsci	PER
subaltern studies	MISC
Subaltern Studies Group	ORG
Indian Subcontinent	LOC
Marxist	MISC
the 1970s	TIME
Indian	LOC
the 1980s	TIME
South Asian	LOC
Eurocentric	LOC
Asia	LOC
Middle East	LOC
Mazinaw Rock	LOC
Addington Highlands	LOC
Kaladar	LOC
Ontario	LOC
Mazinaw Lake	LOC
Bon Echo Provincial Park	LOC
Great Lakes	LOC
Bon Echo	LOC
260	NUM
Algonkian	MISC
Walt Whitman	PER
Flora MacDonald Denison	PER
the 1910s	TIME
Norodom Suramarit	PER
6 March 1896	TIME
3 April 1960	TIME
Cambodia	LOC
1955	TIME
1960	TIME
Norodom Sihanouk	PER
Norodom Sihamoni	PER
Phnom Penh	LOC
Norodom Sutharot	PER
Sisowath Monivong	PER
Sisowath	PER
Sisowath Kosamak	PER
1941	TIME
Hopetoun Blunder	MISC
Federation of the British colonies in Australia	ORG
1 January 1901	TIME
Parliament of Australia	ORG
March	TIME
Westminster system	MISC
House of Representatives	ORG
1 January	TIME
John Hope	PER
Hopetoun	LOC
Linlithgow	LOC
15 December 1900	TIME
Colonial Office	ORG
19 December	TIME
Canadian Confederation	ORG
New South Wales	LOC
William Lyne	PER
September 1899	TIME
George Reid	PER
New South Wales Legislative Assembly	ORG
Edmund Barton	PER
Alfred Deakin	PER
Lestock Peach Wilson DesBrisay	PER
March 28 , 1820	TIME
December 10 , 1872	TIME
Province of New Brunswick	LOC
Charlottetown	LOC
Prince Edward Island	LOC
Lucy Wright	PER
Theophilus DesBrisay	PER
1789	TIME
1847	TIME
1824	TIME
Chatham	LOC
Lestock P. W. DesBrisay	PER
Richibucto	LOC
October 14, 1841	TIME
Diana Gay Smith	PER
Rufus Smith	PER
Legislative Assembly of New Brunswick	ORG
Westmorland County	LOC
1856	TIME
Kent County	LOC
1857	TIME
1865	TIME
1872	TIME
Anglican Church Cemetery	LOC
Peter Arnoldus Petersen	PER
21 March 1851	TIME
12 August 1916	TIME
Norwegian	LOC
Christiania	LOC
Danish	LOC
Johan Gottfried Schmidt	PER
Frederikke Døderlein	PER
1852	TIME
Peter J. K. Petersen	PER
1896	TIME
Sigvart Petersen	PER
Peter Petersen & Co	ORG
Austro - Hungarian Empire	LOC
Nydalens Compagnie	ORG
1883	TIME
1911	TIME
Reisa National Park	LOC
Nordreisa Municipality	LOC
Troms	LOC
Norway	LOC
28 November 1986	TIME
Sámi	MISC
Njállaávzi	LOC
Arctic	LOC
Reisa	LOC
Imo	LOC
Reisadalen	LOC
Mollisfossen	LOC
the 20th century	TIME
Kautokeino	LOC
Finnmark county	LOC
Käsivarsi Wilderness Area	LOC
Karelian Republic	LOC
Russia	LOC
Petrozavodsk	LOC
643,548	NUM
Russian SFSR	LOC
Resolution of the Presidium of the All - Russian Central Executive Committee	MISC
All - Russian Central Executive Committee	ORG
June 27, 1923	TIME
Council of People 's Commissars	ORG
July 25 , 1923	TIME
Karelian Labor Commune	ORG
1956	TIME
Karelo-Finnish Soviet Socialist Republic	LOC
Soviet Union	LOC
Google Sheets	MISC
Google	ORG
Google Drive	MISC
Google Docs	MISC
Google Slides	MISC
Android	MISC
iOS	MISC
Windows	MISC
BlackBerry	MISC
ChromeOS	MISC
Microsoft	ORG
Excel	MISC
Explore	MISC
Damgaard	PER
1 March 1981	TIME
Swedish	LOC
Tillskärarakademin	LOC
Gothenburg	LOC
Philip Treacy	PER
four and a half years	TIME
Stockholm	LOC
Lars Wallin	PER
Victoria	LOC
Madeleine	PER
Estelle	PER
Sugar rush	MISC
May 2013	TIME
Saint Petersburg	LOC
The Art of Sweden	MISC
Elle	MISC
Sommar i P1	MISC
Khirbet Khizeh	MISC
Israeli	LOC
S. Yizhar	PER
1949	TIME
Khirbet Hiz'ah	LOC
Arab	LOC
Israeli war of independence	MISC
1948	TIME
Nakba	MISC
1964	TIME
Israel	LOC
1978	TIME
Channel 1	MISC
Ram Loevy	PER
William Stuart Reyburn	PER
December 17 , 1882	TIME
July 25 , 1946	TIME
U.S. House of Representatives	ORG
Pennsylvania	LOC
Philadelphia	LOC
John E. Reyburn	PER
Margretta	PER
Georgie Fontaine Maury	PER
Washington	LOC
June 10, 1911	TIME
Yale University	ORG
1904	TIME
St. Anthony Hall	ORG
Georgetown University	ORG
William Howard Taft	PER
Philippines	LOC
1905	TIME
Pennsylvania House of Representatives	ORG
1909	TIME
62nd Congress	ORG
May 23, 1911	TIME
Joel Cook	PER
May 23 , 1911	TIME
March 3 , 1913	TIME
Ozu	PER
Kōgo Noda	PER
103 days	TIME
1937	TIME
Make Way for Tomorrow	MISC
Leo McCarey	PER
1953	TIME
1957	TIME
Sutherland Trophy	MISC
1972	TIME
New York City	LOC
Tokyo Story	MISC
2012	TIME
Sight & Sound	MISC
Savoy Truffle	MISC
English	LOC
Beatles	ORG
1968	TIME
The Beatles	MISC
George Harrison	PER
Eric Clapton	PER
Mackintosh 's Good News	MISC
While My Guitar Gently Weeps	MISC
Cream	ORG
Badge	MISC
five - month	TIME
two years	TIME
Chris Thomas	PER
Ob - La - Di , Ob - La - Da	MISC
Ian MacDonald	PER
Daryl Easlea	PER
BBC Music	ORG
Ella Fitzgerald	PER
Terry Manning	PER
They Might Be Giants	ORG
Gęsicka	PER
13 December 1951	TIME
10 April 2010	TIME
Polish	LOC
2006	TIME
2007	TIME
Regional Development	ORG
Marcinkiewicz	PER
Jarosław Kaczyński	PER
Law and Justice parliamentary caucus	ORG
Warsaw	LOC
1974	TIME
Warsaw University's Institute of Sociology	ORG
1985	TIME
Polish Sociological Society and the Association Internationale des Sociologues de Langue Francaise	ORG
Tupolev	MISC
Tu-154	MISC
36th Special Aviation Regiment	ORG
Poland	LOC
Lech Kaczyński	PER
Smolensk	LOC
Pechersk	LOC
25 April	TIME
Smolensk Cemetery Headquarters Military Cemetery	LOC
Commander 's Cross of the Order of Polonia Restituta	MISC
Evelina De Lain	PER
Evelina Renatovna Pronskaya	PER
2 February 1977	TIME
Zhovti Vody	LOC
Dnipropetrovsk	LOC
Ukraine	LOC
5	NUM
M. Glinka Conservatoire	ORG
Broadway	ORG
Jeanne Lehman	PER
Potz	PER
Beauty and the Beast	MISC
Kissy Simmons	PER
Nahla	PER
Lion King	MISC
England	LOC
John Thornton Kirkland	PER
August 17 , 1770	TIME
April 26 , 1840	TIME
Harvard University	ORG
1810	TIME
1828	TIME
Hasty Pudding	ORG
Kirkland House	LOC
Oliver Wendell Holmes	PER
Ralph Waldo Emerson	PER
George Ticknor	PER
New South Church	ORG
Boston	LOC
1794	TIME
American Academy of Arts and Sciences	ORG
1799	TIME
American Antiquarian Society	ORG
1812	TIME
Ames Laboratory	ORG
United States Department of Energy	ORG
Ames	LOC
Iowa	LOC
Iowa State University	ORG
January 2013	TIME
Department of Energy	ORG
CMI	ORG
Catholic Church	ORG
Gambia	LOC
Sierra Leone	LOC
Anglophone	ORG
West African	LOC
one	NUM
Freetown	LOC
Holy See	MISC
Banjul	LOC
Eastern Catholic	ORG
national Episcopal Conference	MISC
Apostolic Nunciature	ORG
Liberia	LOC
Monrovia	LOC
Jefferson Joseph DeBlanc	PER
February 15 , 1921	TIME
November 22 , 2007	TIME
Cajun	LOC
World War II	MISC
Marine Corps	ORG
Japanese	LOC
Pacific	LOC
Guadalcanal	LOC
Okinawa	LOC
January 31, 1943	TIME
five	NUM
Navy	ORG
Medal of Honor	MISC
Marine Corps Reserve	ORG
The Queen	LOC
Chile	LOC
Santiago Province	LOC
Santiago Metropolitan Region	LOC
Larraín	PER
1963	TIME
Ñuñoa	LOC
La Reina Alta	LOC
Metropolitan Region	LOC
—Aerodrómo Eulogio Sánchez Errázuriz	LOC
Tobalaba)—	LOC
Avenida Larraín	LOC
Millennium	MISC
Robbie Williams	PER
1998	TIME
I 've Been Expecting You	MISC
UK Singles Chart	MISC
1999	TIME
The Ego Has Landed	MISC
John Barry	PER
You Only Live Twice	MISC
1967	TIME
James Bond	PER
Committee on International Trade	ORG
European Parliament	ORG
7 July 2014	TIME
Bernd Lange	PER
EU	ORG
World Trade Organisation	ORG
Treaty of Lisbon	MISC
Union	ORG
Common Commercial Policy	MISC
Grandfathering	MISC
Financial Responsibility	MISC
Enforcement’	MISC
Dual Use	MISC
Omnibus I and II	MISC
Generalised System of Preferences	MISC
Market Access Regulation	MISC
Trade Defence Instruments	MISC
Council	ORG
South Korea	LOC
Peru	LOC
Colombia	LOC
Anti - Counterfeiting Trade	MISC
Singapore	LOC
African	LOC
ACP	LOC
Karlheinz Martin	PER
May 6 , 1886	TIME
January 13 , 1948	TIME
Frankfurt am Main	LOC
Hamburg	LOC
Berlin	LOC
Ernst Toller	PER
Transfiguration	MISC
September 30, 1919	TIME
300	NUM
Fritz Kortner	PER
1920	TIME
Georg Kaiser	PER
From Morn to Midnight	MISC
Ernst Deutsch	PER
Bertolt Brecht	PER
The Threepenny Opera	MISC
The Soldier Tanaka	MISC
Marella Explorer	MISC
Century	MISC
Marella Cruises	ORG
TUI	ORG
MV Galaxy	MISC
Celebrity Cruises	ORG
Mein Schiff	MISC
Meyer Werft shipyard	LOC
Papenburg	LOC
25May 1995	TIME
May 1996	TIME
twelve years	TIME
Galaxy	MISC
Celebrity Galaxy	MISC
May 2009	TIME
TUI AG	ORG
Royal Caribbean Cruises Ltd.	ORG
15 May 2009	TIME
Mein Schiff 1	MISC
November 2010	TIME
Barentsøya	LOC
Svalbard	LOC
Edgeøya	LOC
Spitsbergen	LOC
Dutch	LOC
Willem Barents	PER
Søraust-Svalbard Nature Reserve	LOC
43 per cent	NUM
Kükenthaløya	LOC
Freemansundet	LOC
Barents Sea	LOC
Dørstubukta	LOC
Sidi Saiyyed Mosque	LOC
Sidi Saiyyid ni Jali	LOC
1572-73 AD	TIME
Hijri year 980	TIME
Ahmedabad	LOC
Gujarat	LOC
India	LOC
Sidi Saiyyid	PER
Bilal Jhajar Khan	PER
Shams - ud - Din Muzaffar Shah III	PER
Gujarat Sultanate	LOC
Sidi Saiyyed Jali	MISC
Indian Institute of Management Ahmedabad	ORG
Mughals	ORG
Bartolomeo Altomonte	PER
Bartholomäus Hohenberg	PER
24 February 1694	TIME
11 November 1783	TIME
Sankt Florian	LOC
Austrian	LOC
Martino Altomonte	PER
Jan Sobieskis	PER
six	NUM
Linz	LOC
St. Florian	LOC
Priory and Admont Abbey	LOC
Daniel Gran	PER
Bidet	MISC
France	LOC
Brittany	LOC
Morvan	LOC
Auvergne	LOC
Poitou	LOC
Burgundy	LOC
110–135 centimetres	NUM
Two	NUM
the 15th century	TIME
the 19th century	TIME
On the Knocking at the Gate in Macbeth	MISC
Shakespearean	MISC
Thomas De Quincey	PER
October 1823	TIME
The London Magazine	MISC
2000	TIME
Macbeth	PER
The Tragedy of Macbeth	MISC
Duncan	PER
Lady Macbeth	PER
Macduff	PER
Lennox	PER
Porter	PER
Shakespeare	PER
Horace Ainsworth Eaton	PER
Coleridge	PER
Hazlitt	PER
On Murder Considered as one of the Fine Arts	MISC
Sāpai	ORG
Ghurghakhti Pashtun	ORG
Pech Valley	LOC
Kunar	LOC
Parwan Province	LOC
Kapisa Province	LOC
Kabul Province	LOC
Laghman Province	LOC
Nuristan Province	LOC
Kunar Province	LOC
Durand Line	LOC
Khyber Pakhtunkhwa	LOC
Peshawar	LOC
Charsadda	LOC
Mardan	LOC
Nowshehra	LOC
Swabi	LOC
Rawalpindi	LOC
Tarnol	LOC
Lahore	LOC
Multan	LOC
Mohmand	LOC
Bajaur Agency	LOC
Federally Administered Tribal Areas	LOC
Zhob District	LOC
Balochistan	LOC
Nicholas II Sanudo	PER
1374	TIME
Gridia	LOC
Andros	LOC
Archipelago	LOC
Florence Sanudo	PER
Nicholas	PER
Guglielmazzo Sanudo	PER
Florence	LOC
Giovanni dalle Carceri	PER
1358	TIME
Vignoso	PER
Genoese	LOC
Chios	LOC
Nerio I Acciajuoli	PER
Athens	LOC
Republic of Venice	LOC
Crete	LOC
1364	TIME
Nicholas Spezzabanda	PER
Maria	PER
Elisabetta Sanudo	PER
KYB	ORG
85%	NUM
34	NUM
62	TIME
21	NUM
Addison	LOC
IL	LOC
North American	LOC
100	NUM
3	NUM
Chicago	LOC
California	LOC
North America	LOC
Burkina Faso–Sweden Friendship Association	ORG
Burkina Faso	LOC
West Africa	LOC
120	NUM
Burkinakontakt	MISC
1986	TIME
Thomas Sankara	PER
15 October 1987	TIME
Blaise Compaoré	PER
Nina Landis	PER
Rikky	PER
Rikky and Pete	MISC
Komodo	MISC
Four of a Kind	MISC
Handle with Care	MISC
Embassy	MISC
Prime Time	MISC
The Keepers	MISC
One Summer Again	MISC
MDA	MISC
The Flying Doctors	MISC
Prisoner	MISC
A Country Practice	MISC
The Art and Nature of Acting	MISC
Flinders University Adelaide	ORG
1970s	TIME
J. R. R. Tolkien	PER
Amras	PER
Amrod	PER
Fëanor	PER
Nerdanel	PER
Mahtan	PER
Quenya	MISC
Pityafinwë	PER
Little Finwë	PER
Top - russet	PER
Tolkien	PER
Amros	PER
Sindarin	MISC
Maedhros	LOC
War of the Jewels	MISC
Kinslaying of Sirion	MISC
Adolphe Deschamps	PER
17 June 1807	TIME
19 July 1875	TIME
Belgian	LOC
Victor - Auguste - Isidor Deschamps	PER
1830	TIME
Catholic	ORG
Pierre de Decker	PER
La Revue de Bruxelles	ORG
Catholics	ORG
Liberals	ORG
Belgian Chamber of Representatives	ORG
1836	TIME
1839	TIME
Treaty of London	MISC
Great Powers	ORG
Belgium	LOC
Netherlands	LOC
1842	TIME
1843	TIME
1848	TIME
1864	TIME
Pierre Marsan	PER
June 29, 1948	TIME
Montreal	LOC
Quebec	LOC
National Assembly of Quebec	ORG
Robert-Baldwin	LOC
Quebec Liberal Party	ORG
Université du Québec à Montréal	ORG
Université de Montréal	ORG
Hotel - Dieu	ORG
Saint-Jérôme Hospital	ORG
Montreal Heart Institute	ORG
Hôpital du Sacré-Coeur	ORG
Santa Cabrini Hospital	LOC
Epic Foundation	ORG
Hôpital du Sacré Coeur Foundation	ORG
Association of Canadian Teaching Hospitals	ORG
1994	TIME
Pour un Quebec en Santé	MISC
2003	TIME
Health and Social Services	ORG
Jean Charest	PER
Immigration and Cultural Communities	ORG
Haneke	PER
23 March 1942	TIME
Funny Games	MISC
1997	TIME
Caché	MISC
The White Ribbon	MISC
Amour	MISC
Film Academy Vienna	ORG
Cannes Film Festival	MISC
Palme d'Or	MISC
Golden Globe Awards	MISC
Golden Globe Award for Best Foreign Language Film	MISC
three years	TIME
Academy Award	MISC
Best Picture	MISC
Best Director	MISC
Best Original Screenplay	MISC
Best Actress in a Leading Role	MISC
Emmanuelle Riva	PER
Best Foreign Language Film	MISC
Asturias Award	MISC
Love Story	MISC
Yelawolf	PER
April 21, 2015	TIME
Interscope Records	ORG
Shady Records	ORG
Slumerican	ORG
Nashville	LOC
Tennessee	LOC
Eminem	PER
Malay	PER
WLPWR	PER
Box Chevy V	MISC
Till It's Gone	MISC
Whiskey in a Bottle	MISC
American You	MISC
Best Friend	MISC
Billboard 200	MISC
51,000	NUM
Livia Bitton-Jackson	PER
February 28, 1931	TIME
Samorin	LOC
Czechoslovakia	LOC
13 years old	NUM
Bubi	PER
Ghetto	LOC
Nagymagyar	LOC
Auschwitz	LOC
1945	TIME
1951	TIME
New York University	ORG
Hebrew	ORG
Jewish	ORG
I Have Lived a Thousand Years	MISC
Official Charts Company	ORG
John Travolta	PER
Olivia Newton-John	PER
Grease	MISC
the early 21st century	TIME
10 September 2015	TIME
François Asselineau	PER
14 September 1957	TIME
Rally for France	ORG
UMP	ORG
Union Populaire Républicaine	ORG
European Union	ORG
Eurozone	LOC
NATO	ORG
Arrêt sur	PER
Wikipedia	MISC
2017	TIME
Frexit	ORG
0.92 %	NUM
Emmanuel Joseph Sieyès	PER
3 May 1748	TIME
20 June 1836	TIME
Roman Catholic	ORG
French Revolution	MISC
French Consulate	LOC
First French Empire	LOC
What is the Third Estate	MISC
Revolution	MISC
Estates - General	MISC
National Assembly	ORG
18	NUM
9 November	TIME
Napoleon Bonaparte	PER
Wikitorial	MISC
Los Angeles Times	ORG
June 17, 2005	TIME
War and Consequences	MISC
War in Iraq	MISC
Jimmy Wales	PER
Wikimedia Foundation	ORG
Niagara Stars	ORG
Canadian Baseball League	ORG
Welland	LOC
Dominican Republic	LOC
Pete LaCock	PER
Peter Marshall	PER
Dave MacLean	PER
Sony Discman	MISC
Jacques Lanxade	PER
8 September 1934	TIME
François Mitterrand	PER
French Republic	LOC
1989	TIME
French Armed Forces	ORG
1995	TIME
Rwandan Genocide	MISC
Tunisia	LOC
Académie de Marine	ORG
Mediterranean Foundation for Strategic Research	ORG
Politique américaine	MISC
Tango SA	ORG
Luxembourg	LOC
9	NUM
17	NUM
Vodafone	ORG
January 2018	TIME
280,000	NUM
Proximus Group	ORG
Telindus	ORG
ICT	MISC
Cloud	MISC
Proximus Luxembourg	MISC
October 2016	TIME
James Drewry Stewart	PER
March 29	TIME
McMaster University	ORG
Stanford University	ORG
University of Toronto	ORG
University of London	ORG
Calculus : Early Transcendentals	MISC
Hamilton Philharmonic Orchestra	ORG
Albert Ogden " Scoop " Vorse Jr.	PER
August 9 , 1914	TIME
October 27 , 1979	TIME
United States Navy	ORG
Battle of the Coral Sea	MISC
Guadalcanal Campaign	MISC
Butch O'Hare	PER
Jimmy Thach	PER
VF-80	ORG
Air Group 80	ORG
1959	TIME
John Udell	PER
22 June 1795	TIME
30 June 1874	TIME
Baptist	ORG
Great Plains	LOC
four	NUM
1850	TIME
1859	TIME
Solano County	LOC
Sonoma County	LOC
Incidents of Travel to California Across the Great Plains	MISC
Journal of John Udell , Kept During a Trip Across the Plains	MISC
Rose-Baley Party	ORG
Marlo Chandler	PER
Marvel Comics	ORG
Peter David	PER
The Incredible Hulk	MISC
September 1988	TIME
Captain Marvel	MISC
1999–2004	TIME
Rick Jones	PER
Hulk	PER
Betty Ross	PER
Philip Marlowe	PER
Raymond Chandler	PER
Capcom	ORG
Yukimura	PER
Sōichirō Hoshi	PER
Andrew Francis	PER
Devil Kings	MISC
Bosch	PER
Sengoku Basara	MISC
Date Masamune	PER
Ventadour Lake	LOC
Eeyou Istchee James Bay	LOC
Jamésie	LOC
Nord-du-Québec	LOC
Ventadour	LOC
Feuquières	LOC
Lake Ventadour	LOC
forest road R1032	LOC
Gabriel and Ventadour	LOC
Ventadour River	LOC
route 212	LOC
Obedjiwan	LOC
La Tuque	LOC
November	TIME
mid - May	TIME
mid - November	TIME
mid - April	TIME
Set Them Free	PER
February 11, 1990	TIME
Kentucky	LOC
October 30, 2018	TIME
Stop The Music	MISC
U.S. Champion 2-Yr - Old Colt	MISC
Hail To Reason	MISC
Tyrant	MISC
Valseuse	MISC
Ann	PER
Jerome Moss	PER
1992	TIME
Fasig - Tipton Calder	ORG
$ 45,000	NUM
Brian Mayberry	PER
Sting	PER
Pasadena Stakes	MISC
Santa Anita Park	LOC
Debutante Breeders' Cup Stakes	MISC
Bay Meadows Racetrack	LOC
Breeders ' Cup Juvenile Fillies	MISC
Kentucky Derby	MISC
Giacomo	MISC
Holy Bull	MISC
Tiago	MISC
Pleasant Tap	MISC
Robert McDougall	PER
16 April 1813	TIME
25 June 1887	TIME
Victorian Legislative Assembly	ORG
Fortingall	LOC
Perthshire	LOC
Alexander McDougall	PER
Grace	PER
Melbourne	LOC
November 1841	TIME
November 1856	TIME
West Bourke	LOC
August 1857	TIME
Arundel	LOC
Keilor	LOC
1870	TIME
Booth	MISC
Bates	MISC
Niel Black	PER
Ellora	LOC
Moonee Ponds	LOC
creature features	MISC
The Lost World	MISC
1925	TIME
The Birds	MISC
Alfred Hitchcock	PER
Jaws	MISC
Steven Spielberg	PER
Grizzly	MISC
1976	TIME
Piranha	MISC
Alligator	MISC
1980	TIME
The Shallows	MISC
Régine Hantelle	PER
1 March 1965	TIME
Paris	LOC
Alice	PER
Alice et Anaïs	ORG
A deux	MISC
L'étudiante	MISC
Le temps est long	MISC
L'amour avec toi	MISC
J't'en veux	MISC
Rêves des lunes	MISC
Didier Barbelivien	PER
Anaïs et Didier Barbelivien	ORG
Vendée ' 93	MISC
2 million	NUM
Les mariés de Vendée	MISC
Quitter l'autoroute	MISC
Ou Reang Ov District	LOC
Tboung Khmum	LOC
Ou Reang Ov	LOC
30 kilometres	NUM
Kampong Cham Province	LOC
Prey Veng	LOC
42 kilometres	NUM
